"Embassy",2000,28.6336789,77.2210029
"FLYP@MTV",1200,28.63033313,77.22072076
"GoGourmet",600,28.627897,77.223175
"Haldiram's",550,28.6340072,77.2223278
"Indian Grill Company",1300,28.6335935,77.2226871
"Jain Chawal Wale",250,28.6318938,77.216129
"Jungle Jamboree",1200,28.6324794,77.2161749
"Kake Da Hotel",600,28.6350395,77.2218787
"Kebab Xpress",600,28.6305246,77.2196331
"KFC",500,28.63136,77.217
"Khan Chacha",650,28.6340493,77.2208907
"Kinbuck 2",1600,28.6320976,77.2163994
"La Americana",450,28.6331936,77.222736
"Lady Baga",1200,28.63123951,77.21645035
"Life Caffe",1500,28.63417726,77.21829101
"Lord of the Drinks",2200,28.6319527,77.2167587
"McDonald's",500,28.6323132,77.216411
"McDonald's",500,28.63000833,77.22015667
"Moets Arabica",400,28.6303042,77.2208276
"Mother India",1400,28.6355337,77.2190709
"Mughlai Junction",650,28.6307809,77.2204415
"My Bar Headquarters",1000,28.630721,77.2198128
"Nando's",1200,28.63089815,77.21980177
"Nizam's Kathi Kabab",900,28.6349788,77.2193637
"Oh My God",1400,28.6312375,77.2205314
"Open House Cafe",1700,28.63430998,77.22071037
"Parikrama - The Revolving Restaurant",2400,28.62845265,77.22263787
"Pind Balluchi",1000,28.6308607,77.2180107
"Pizza Hut",1000,28.6322176,77.2228218
"Playboy Cafe",1100,28.6306314,77.2198128
"Privee'",5000,28.620999,77.21826
"Punjabi By Nature",1100,28.6308511,77.2197679
"Quote - The Eclectic Bar and Lounge",1700,28.6308473,77.2171077
"Rajdhani Thali Restaurant",950,28.62981696,77.22053636
"Route 04",1350,28.6348681,77.2200822
"Sbarro",600,28.630354,77.2197229
"Shake Square",400,28.6335234,77.2181959
"South Indian Snacks",300,28.62612864,77.21608289
"SSKY Bar & Lounge",2800,28.6286716,77.22247191
"Starbucks",700,28.63014067,77.22063158
"Subway",500,28.6311315,77.222238
"Tamasha",1600,28.629606,77.221744
"Taste of China",1200,28.6300841,77.2204748
"Teddy Boy",1200,28.6301834,77.2198128
"The Beer Cafe - BIGGIE",1250,28.6339511,77.2208008
"The Flying Saucer Cafe",1500,28.6315577,77.2210703
"The Junkyard Cafe",1500,28.6303196,77.2207923
"The Luggage Room Kitchen And Bar",1400,28.6331626,77.2228667
"The Rolling Joint",450,28.6335249,77.2219685
"The Vault Cafe",1600,28.63104411,77.21964553
"Veda",1600,28.6352172,77.2181061
"Warehouse Cafe",1500,28.63384356,77.22086292
"Zaffran",1800,28.6336168,77.221559
"Zen",1500,28.6342534,77.2192738
"Zizo",1600,28.635299,77.2199026
"Kettle & Kegs",200,28.636975,77.23041
"Ovenstory Pizza",500,28.637044,77.22947
"Shree Hari Vaishnav Dhaba",200,28.6302952,77.2296803
"38 Barracks",1600,28.63302489,77.22285848
"Ambrosia Bliss",1800,28.63386651,77.22212523
"Ardor 2.1",2000,28.6300384,77.2201721
"Barbeque Nation",1600,28.62996616,77.22067215
"Bikkgane Biryani",800,28.6316714,77.2161897
"Biryani Blues",1000,28.6299831,77.2205314
"Caffe 9",2000,28.6324389,77.2162198
"Excuse Me Boss",1800,28.6309539,77.2208457
"Fa Yian",1200,28.6328105,77.2172977
"Farzi Cafe",2200,28.6323984,77.2214296
"Fuji Japanese Restaurant",2000,28.63298369,77.22193044
"Healthy Routes",800,28.6348214,77.2205314
"HotMess",1900,28.6326547,77.222238
"House of Commons",1400,28.6330645,77.2227769
"Johnny Rockets",1000,28.6304436,77.2197229
"Odeon Social",1600,28.63424877,77.22090885
"Pebble Street",1800,28.6302434,77.2204415
"Piali - The Curry Bistro",1200,28.6352499,77.2198577
"Saravana Bhavan",500,28.6323578,77.2163096
"Smoke On Water",1300,28.6336429,77.2215438
"Starbucks",700,28.6321771,77.2177019
"The Darzi Bar & Kitchen",1500,28.6355397,77.2191391
"The G.T. Road",1500,28.6332275,77.2228913
"The Town House Cafe",2100,28.62997057,77.22054273
"United Coffee House",2200,28.6324708,77.2212499
"Unplugged Courtyard",1600,28.63447388,77.22129744
"Wenger's Deli",400,28.6336216,77.2182858
"Wenger's",400,28.6333676,77.2183326
"{Niche} - Cafe & Bar",1500,28.6315156,77.2225074
"Chicken Minar",550,28.7181477,77.1250143
"G Lounge",1900,28.7182809,77.124976
"Gyms Kook",1000,28.7186064,77.125077
"Burger Joint",300,28.7183684,77.1248938
"Eleven to Eleven",800,28.65784,77.3027142
"Le Chef",800,28.6571108,77.3023283
"McDonald's",500,28.657631,77.3022802
"The Buffet Wagon",950,28.6576462,77.3022817
"Haldiram's",600,28.6567112,77.3018958
"Connexions Bar - Crowne Plaza",2500,28.7208561,77.1104921
"Deli - Crowne Plaza",1000,28.7203475,77.1104047
